# period (s)    DM              RA (J2000, deg) Dec (J2000, deg)
0.1431580	3.96E+01	84.6043850	28.2859180
0.0504990	1.47E+02	85.0465000	-69.3316390
1.2860150	2.94E+01	85.1283330	-71.4253890
0.5420000	1.20E+02	85.1583330	32.0386110
0.2459750	7.77E+01	85.7902500	23.4847220
0.7089540	1.31E+02	85.9696250	-68.8570280
2.8438500	7.38E+01	86.6198330	24.6891670
0.8278380	7.34E+01	88.7577080	-70.9460000
2.2613650	3.00E+01	90.1937500	-57.9483330
0.3959690	8.05E+01	90.4957590	-5.4640440
0.0556980	3.87E+01	92.4953590	21.5007890
0.0038610	6.07E+01	92.5566340	-21.0077820
1.4120900	7.30E+01	92.8166670	30.2666670
0.2979820	2.71E+01	93.2028610	37.3603770
0.0030620	3.88E+01	93.4332300	-2.0131030
0.3349600	9.69E+01	93.5715000	22.5100000
0.0288540	3.66E+01	95.3421300	10.0440950
1.0390760	7.08E+01	96.0834510	-4.4140150
0.4983970	7.80E+01	96.4375000	10.2666670
1.2410000	8.80E+01	97.2041670	9.1663890
0.4766230	8.42E+01	97.2738670	24.2620280
1.2444190	3.45E+01	97.7061580	-28.5786470
0.2877730	1.25E+02	97.8647500	10.6172800
3.2532110	9.07E+01	98.2869170	-20.2519720
0.2370990	0.00E+00	98.4756370	17.7702520
0.0338560	0.00E+00	98.8250000	5.5530560
1.9845970	2.63E+01	99.1406000	-45.8257280
1.2144410	3.33E+01	103.3128750	80.8667280
1.2247540	3.24E+01	104.1258620	-22.4737640
0.1831570	6.75E+01	104.2041250	-54.8208110
0.3848910	1.40E+01	104.9505580	14.2393060
0.1956710	8.77E+00	105.1575080	64.3031110
0.4852680	6.50E+01	107.3855540	-59.3987780
1.2140900	4.50E+01	107.9007500	9.5236110
0.0054910	1.84E+01	107.9758360	-68.5131870
0.9747250	2.54E+02	109.7807500	-25.7500640
8.3911160	0.00E+00	110.1040000	-31.4306110
0.4243110	9.90E+01	111.2516840	-16.5960600
3.4423080	6.94E+01	111.5338330	-26.2105830
0.2516590	9.23E+01	112.3185420	-14.8102220
0.5101600	6.13E+01	112.3847980	-18.6118750
1.7962500	1.94E+02	113.3525000	-23.7656110
0.3203660	9.57E+01	114.4336290	-22.0348110
0.0226990	4.89E+01	114.4635390	-30.6613110
2.7734610	4.89E+01	114.4635390	-30.6613110
0.3749200	1.61E+02	114.6347040	-40.7113720
0.1667620	7.38E+01	115.7044080	-28.3788220
0.2148360	1.22E+02	116.2595830	-53.8561110
2.7910250	1.35E+02	116.7479920	-45.4907360
1.0954520	1.05E+02	117.4569790	-42.7950390
0.0034790	3.03E+01	117.7881540	18.1273900
1.4423490	4.00E+01	118.6695330	32.5322780
0.6822650	6.33E+01	119.6211280	-15.4690940
0.5471990	2.28E+02	122.4328750	-47.8986500
1.2922410	6.12E+00	123.7479170	74.4849170
0.6451610	5.27E+01	123.7865670	9.6640830
2.1612590	1.32E+02	124.6080630	-32.5418140
0.5454460	1.13E+02	125.0643750	-41.2434440
1.2381300	4.09E+01	125.1098620	-13.8487470
1.0735670	1.79E+02	125.2046250	-39.3654720
0.3967280	2.71E+02	125.4359830	-42.3570720
0.8648730	2.37E+01	125.7907000	1.9867810
